iter	Passed	Remaining
0	2	2200
1	4	2073
2	6	2101
3	8	2083
4	10	2032
5	10	1788
6	13	1862
7	15	1879
8	17	1889
9	19	1909
10	20	1845
11	22	1852
12	24	1876
13	26	1877
14	29	1932
15	31	1939
16	33	1932
17	35	1923
18	37	1914
19	37	1850
20	39	1851
21	41	1857
22	44	1878
23	46	1888
24	48	1884
25	50	1889
26	52	1887
27	54	1888
28	56	1883
29	58	1878
30	61	1909
31	63	1909
32	65	1905
33	66	1901
34	68	1897
35	70	1894
36	72	1894
37	75	1902
38	77	1907
39	79	1899
40	80	1893
41	82	1887
42	84	1885
43	86	1882
44	88	1879
45	90	1881
46	92	1884
47	94	1880
48	96	1876
49	98	1874
50	100	1870
51	102	1868
52	104	1863
53	106	1858
54	108	1857
55	109	1853
56	111	1847
57	113	1841
58	114	1827
59	116	1822
60	118	1818
61	119	1814
62	121	1810
63	123	1807
64	125	1804
65	127	1799
66	128	1795
67	130	1790
68	132	1786
69	134	1785
70	136	1782
71	138	1781
72	139	1768
73	141	1769
74	143	1773
75	145	1775
76	148	1774
77	150	1781
78	152	1779
79	154	1774
80	156	1771
81	157	1768
82	159	1765
83	161	1761
84	163	1760
85	165	1759
86	167	1759
87	169	1760
88	171	1758
89	173	1758
90	176	1762
91	178	1759
92	180	1758
93	182	1757
94	184	1758
95	186	1756
96	188	1754
97	190	1751
98	192	1749
99	194	1747
100	196	1746
101	198	1745
102	199	1735
103	201	1735
104	203	1732
105	203	1719
106	205	1717
107	207	1713
108	209	1711
109	211	1710
110	213	1710
111	215	1709
112	217	1709
113	219	1706
114	221	1703
115	223	1699
116	224	1696
117	226	1694
118	228	1693
119	231	1694
120	233	1692
121	234	1689
122	236	1686
123	238	1683
124	240	1680
125	241	1678
126	243	1675
127	245	1673
128	247	1674
129	249	1671
130	251	1668
131	253	1665
132	254	1662
133	256	1659
134	258	1657
135	260	1654
136	262	1652
137	264	1650
138	266	1649
139	268	1648
140	270	1648
141	272	1648
142	274	1645
143	277	1649
144	279	1650
145	282	1649
146	284	1648
147	285	1645
148	287	1644
149	289	1643
150	291	1641
151	293	1639
152	296	1642
153	298	1640
154	300	1638
155	302	1638
156	304	1637
157	306	1634
158	308	1631
159	310	1628
160	312	1629
161	314	1626
162	316	1624
163	318	1623
164	320	1620
165	321	1617
166	323	1614
167	325	1611
168	327	1610
169	329	1609
170	331	1607
171	333	1605
172	335	1603
173	337	1600
174	338	1597
175	340	1594
176	342	1592
